"uCode","Rank","EI","I0","I1","I0.1","I0.2","I0.3","I0.4","I1.1","I1.2","I1.3","I1.4","I1.5"
"TGO",1,72.42,71.01,73.84,57.12,100,100,26.93,88.27,89.21,86.72,100,4.99
"CMR",2,71.6,80.87,62.32,100,96.15,73.98,53.37,100,92.38,71.14,25.04,23.04
"ZMB",3,71.17,65.01,77.33,0,96.25,75.85,87.95,96.66,100,100,85.01,4.99
"BEN",4,48.62,67.09,30.15,54.12,89.02,96.92,28.31,40.52,54.04,6.78,49.4,0
"BWA",5,46.67,66.34,27.01,59.47,36.45,69.44,100,39.95,32.36,0,0,62.74
"CIV",6,45.2,52.58,37.82,21.72,94.6,62.22,31.77,65.86,72.33,10.25,6.98,33.65
"SEN",7,39.29,52.15,26.44,52.99,89.35,66.27,0,36.67,45.25,13.22,11.24,25.8
"TUN",8,34.73,39.13,30.33,27.05,41.26,0,88.23,19.57,15.01,3.64,13.46,100
"GHA",9,30.49,38.65,22.34,14.43,87.96,31.01,21.18,0,46.78,39.55,1.36,23.99
"DZA",10,25.58,21.29,29.86,0,0,0,85.17,6.45,0,0.32,42.76,99.79
